id,date,text,message_length,hashtags
897,04-10-2024,":united_states: expert tips for navigating a competitive job market - yahoo finance:united_states: stock market next week: outlook for october 7-11, 2024 - cnbc:united_states: oil set for biggest weekly gains in two years on middle east war risk - reuters:united_states: odd lots newsletter: money markets will mess with you - bloomberg:united_states: aafa pushes again for facebook, instagram to join the notorious markets list - retail dive:united_states: stock market today: stocks climb after jobs report's massive beat, unemployment rate dip - yahoo finance:united_states: market volatility shines a light on overnight risk management - cme group:united_states: collagen market size to reach around usd 27.47 billion by 2034 - globenewswire:united_states: turkey loyalty programs intelligence report 2024: market to - globenewswire:united_states: grains see pressure with markets in transition and funds nearly flat: what is the next likely move? - agweb powered by farm journal:united_states: top  news stories :united_states::tear-off_calendar: date - oct 04, 2024",1071,[]
896,04-10-2024,":india: hong kong surpasses india in market cap as chinese equities rebound - business standard:india: nse aspires to double market cap to $11 trillion in 10 years - the hindu:india: asia index private launches three new indices; details here | stock market news - mint:india: wall street today: us stocks surge after strong labor report | stock market news - mint:india: ace aviation acquires aircraft from market as jet airways deal faces delay - business standard:india: how biden's casual remarks sparked global concerns, ripples in markets amid iran-israel tensions - moneycontrol:india: 2024 research | vaccine delivery devices market poised for - globenewswire:india: 5 things to know before the stock market opens - investopedia:india: breakingviews - china and india reveal emerging market mistakes - reuters:india: why one foreigner expects the u.s. to reclaim its stock-market dominance - marketwatch:india: top  news stories :india::tear-off_calendar: date - oct 04, 2024",983,[]
895,03-10-2024,":united_states: new york stock exchange (nyse)nyse composite (nya) — 19,419.55 (-62.25, -0.32%):fire: hot stocks (24h):-company  price (%change)    swn   7.11  (-0.56%)    nio   6.76  (-6.17%)   pltr  38.78   (3.44%)   pwsc  22.81  (-0.18%)   baba 113.75  (-1.30%)      f  10.39  (-0.91%)   vale  11.43  (-3.01%):up-right_arrow: top gainers (24h):-company  price (%gain)    vst 133.23 (6.27%)    pbf  32.87 (5.30%)    tpl 972.00 (4.52%)    vlo 141.58 (4.34%)   vist  47.60 (4.11%):down-right_arrow: top losers (24h):-company price  (%loss)   hims 17.11 (-9.68%)    ain 79.00 (-9.11%)   joby  5.63 (-8.31%)   levi 19.51 (-7.36%)   xpev 12.43 (-6.82%):counterclockwise_arrows_button: last updated: thursday, october 03, 2024 12:35:42 pm est",738,[]
894,03-10-2024,":united_states: national association of securities dealers automated quotations (nasdaq)nasdaq (comp) — 17,938.11 (12.99, 0.07%):fire: hot stocks (24h):-company  price (%change)   nvda 122.90   (3.41%)   tsla 242.73  (-2.53%)   intc  22.25  (-0.60%)     iq 3.0150  (-5.49%)     jd  44.70  (-0.23%)    amd 164.31   (2.83%)   smci  42.56   (1.32%):up-right_arrow: top gainers (24h):-company  price (%gain)   vrna  31.02 (8.04%)   mktx 270.75 (6.21%)   futu 119.32 (5.74%)   calm  79.29 (5.15%)    ceg 278.30 (4.87%):down-right_arrow: top losers (24h):-company price  (%loss)   bili 27.35 (-7.79%)    gds 21.27 (-7.48%)    ppc 44.71 (-6.58%)    hcm 19.77 (-5.04%)     wb 10.66 (-4.82%):counterclockwise_arrows_button: last updated: thursday, october 03, 2024 12:37:40 pm est",771,[]
893,03-10-2024,":united_states: jobs report today: what to watch — live updates - the wall street journal:united_states: stock market today: dow jones futures rise ahead of jobs report; nvidia nears buy point - investor's business daily:united_states: cold plunge pool market size & share to surpass usd 648.2 - globenewswire:united_states: jobs and oil prices are keeping markets on edge - the new york times:united_states: 5 things to know before the stock market opens friday - cnbc:united_states: stock market today: us futures edge higher as investors gear up for key jobs report - yahoo finance:united_states: corporate adoption is turbocharging the ai market, says top tech analyst - fortune:united_states: $49.5 bn public safety analytics market analysis by - globenewswire:united_states: 5 brilliant reasons why amazon will crush the market - the motley fool:united_states: blackstone expects private credit market to soar to $30t - investmentnews:united_states: top  news stories :united_states::tear-off_calendar: date - oct 04, 2024",1028,[]
892,03-10-2024,":india: national stock exchange (nse)nifty50 — 25,252.05 (-544.85, -2.11%):fire: hot stocks (24h):- company  price (%change)    idea   9.87  (-2.95%) jppower  20.10   (4.96%)     pnb 104.87  (-0.32%)rtnpower  16.86   (4.98%) yesbank  21.89  (-2.37%)  suzlon  75.75  (-5.00%)gtlinfra 2.3600  (-1.26%):up-right_arrow: top gainers (24h):-   company    price  (%gain)    itdcem   645.35 (20.00%)      anup 2,585.30 (10.99%) unitedtea   486.80  (9.97%)  bagfilms    13.18  (9.92%)bfutilitie   989.00  (9.02%):down-right_arrow: top losers (24h):-   company    price   (%loss)kamopaints    30.24 (-10.00%) compusoft    29.85  (-8.13%) swelectes 1,160.00  (-7.38%)    nureca   334.00  (-7.23%)      take    20.68  (-7.18%):no_entry: market closed.",739,[]
891,03-10-2024,":india: bombay stock exchange (bse)sensex — 82,497.10 (-1769.19, -2.10%):fire: hot stocks (24h):- company  price (%change) jppower  20.12   (4.96%)    idea   9.87  (-3.05%)rtnpower  16.91   (4.97%)spicejet  65.60  (-3.71%)gtlinfra 2.3600  (-1.26%):up-right_arrow: top gainers (24h):- company    price  (%gain)  itdcem   644.40 (20.00%)abansent   188.00 (13.71%)    anup 2,592.50 (11.25%)bagfilms    13.24  (9.97%)shivalik   619.75  (9.44%):down-right_arrow: top losers (24h):-   company  price  (%loss)kamopaints  30.24 (-9.97%) elprointl 134.30 (-8.27%)    comsyn  60.86 (-7.72%)jmfinancil 143.70 (-6.84%)      dbol 150.90 (-6.68%):no_entry: market closed.",657,[]
890,03-10-2024,":india: stocks to watch: hdfc bank, muthoot finance, ola electric, adani green, lic - business standard:india: stock market selloff: one sector, three opportunities | stock market news - mint:india: daily voice: this portfolio manager sees strong value in largecaps and 4 key sectors amid market... - moneycontrol:india: buy or sell: vaishali parekh recommends three stocks to buy today — october 4 | stock market news - mint:india: ipo invincibles: beyond krn, more ipos that defied the market crash | stock market news - mint:india: breakingviews - china and india reveal emerging market mistakes - reuters:india: asia-pacific markets trade mixed as investors weigh china stimulus, oil gains - cnbc:india: china’s cash funds lose billions in rush back to stock market - bloomberg:india: utilities, oil, jobs report: market takeaways - yahoo finance:india: live updates: oil surges 5pc on middle east conflict fears, asx 200 remains near record highs - abc news:india: top  news stories :india::tear-off_calendar: date - oct 03, 2024",1034,[]
889,02-10-2024,":united_states: new york stock exchange (nyse)nyse composite (nya) — 19,470.51 (-3.42, -0.02%):fire: hot stocks (24h):-company  price (%change)    nio   7.22   (2.70%)   abev 2.5600   (2.40%)    swn   7.11  (-0.56%)   joby   6.14  (27.96%)   beke  24.60   (5.22%)   baba 115.23   (2.21%)      f  10.48  (-2.51%):up-right_arrow: top gainers (24h):-company price  (%gain)   joby  6.14 (27.96%)   crgy 12.40 (11.01%)   yumc 51.02  (7.75%)    tme 13.72  (7.57%)   cien 66.03  (7.46%):down-right_arrow: top losers (24h):-company  price   (%loss)    hum 246.47 (-11.80%)   mtrn  96.98 (-11.69%)    trp  44.03  (-8.97%)    cag  30.08  (-8.07%)    nke  83.10  (-6.76%):no_entry: market closed.",685,[]
888,02-10-2024,":united_states: national association of securities dealers automated quotations (nasdaq)nasdaq (comp) — 17,925.12 (14.76, 0.08%):fire: hot stocks (24h):-company  price (%change)   nvda 118.85   (1.58%)   tsla 249.02  (-3.49%)     jd  44.80   (4.36%)   intc  22.39  (-1.32%)     iq 3.1900   (5.98%)    pdd 152.71   (4.85%)   bili  29.66  (10.96%):up-right_arrow: top gainers (24h):-company  price  (%gain)   nvax  14.68 (19.16%)   alhc  11.27 (12.65%)   bili  29.66 (10.96%)   ntes 104.26  (7.88%)   ilmn 139.02  (7.78%):down-right_arrow: top losers (24h):-company price  (%loss)   hrmy 35.57 (-9.35%)   cldx 30.21 (-6.76%)   aclx 76.23 (-6.40%)   achc 58.80 (-5.78%)    txg 20.13 (-5.54%):no_entry: market closed.",713,[]
